error_type,target,predicted
case_error,"CHAPTER I INTRODUCTION TO STORM Probably Susan Hawthorne got a lot of her courage and independence from her father, old Smiler Hawthorne, who in his time had been nearly everything and nearly everywhere--a tall, grizzled man who was generally broke but always unbeatable.","Chapter I Introduction to Storm probably Susan Hawthorne got a lot of her courage and independence from her father, old Smiler Hawthorne, who in his time had been nearly everything and nearly everywhere--a tall, grizzled man who was generally broke but always unbeatable."
case_error,"Anyway, wherever she got it from, she needed it all; for old Hawthorne crossed the Divide one night with the same reckless optimism as he had gone through life.","Anyway, wherever she got it from, she needed it all; for old Hawthorne crossed the divide one night with the same reckless optimism as he had gone through life."
case_error,League of Nations conferences--all rot.,League of nations conferences--all rot.
case_error,housekeeper's always here.,Housekeeper's always here.
case_error,"After a month she began to consider herself an authority on affairs of State, for Lord Hannassay held a high post in the Home Office.","After a month she began to consider herself an authority on affairs of state, for Lord Hannassay held a high post in the home office."
case_error,"She was returning from the Home Office one afternoon after delivering some papers when she discovered that she was not as friendless as she had thought, and the discovery was a cheerful surprise.","She was returning from the home office one afternoon after delivering some papers when she discovered that she was not as friendless as she had thought, and the discovery was a cheerful surprise."
case_error,"""Oh, yes!"" She smiled.","""Oh, yes!"" she smiled."
case_error,"""I put in a bit of time with the Riffi--they made me a Kaid or a Pasha or whatever a Riff makes you when he loves you like a brother.","""I put in a bit of time with the riffi--they made me a kaid or a Pasha or whatever a riff makes you when he loves you like a brother."
case_error,"Then that blew over, so I beat it to the Pacific and went pearling.","Then that blew over, so I beat it to the pacific and went pearling."
case_error,"Had a merry scrap with a Jap patrol, fishing on forbidden ground.","Had a merry scrap with a jap patrol, fishing on forbidden ground."
case_error,"""Here he lies where he longed to be, Home is the bootlegger, home from the sea, And the moonshiner home from the still..."" ""You haven't changed a bit,"" she laughed ""Nor you--you're just as lovely as ever--more so!","""Here he lies where he longed to be, home is the bootlegger, home from the sea, and the moonshiner home from the still..."" ""You haven't changed a bit,"" she laughed ""nor you--you're just as lovely as ever--more so!"
case_error,"I'm just wondering whether it'd be worth while going back to Paluna--you remember, I ran a one-man revolution there and made myself President about three years back.","I'm just wondering whether it'd be worth while going back to Paluna--you remember, I ran a one-man revolution there and made myself president about three years back."
case_error,"Being President of a South American Republic is some game, believe uncle!"" He was, as a matter of fact, doing rather more than divers things.","Being president of a South American republic is some game, believe Uncle!"" He was, as a matter of fact, doing rather more than divers things."
case_error,When he left he returned to Scotland Yard and made his way to the office of the Assistant Commissioner.,When he left he returned to Scotland Yard and made his way to the office of the assistant commissioner.
case_error,"I tell you, anyone who was brought up by Smiler Hawthorne and after that went in for stockbroking or market gardening or anything else respectable and dull would have been a blistering Robot!"" ""I'm glad to hear it,"" said Bill Kennedy drily.","I tell you, anyone who was brought up by Smiler Hawthorne and after that went in for stockbroking or market gardening or anything else respectable and dull would have been a blistering robot!"" ""I'm glad to hear it,"" said Bill Kennedy Drily."
case_error,"""I'd already gathered that you weren't a Robot, laddie, from the fact that you took an hour and a half to find out about her when you'd known her for years.","""I'd already gathered that you weren't a robot, Laddie, from the fact that you took an hour and a half to find out about her when you'd known her for years."
case_error,"""Well, Teal?"" he prompted briskly.","""Well, teal?"" he prompted briskly."
case_error,And Prester John hasn't cracked a crib for two months--and I know he was hard up two months ago.,And prester John hasn't cracked a crib for two months--and I know he was hard up two months ago.
case_error,I thought Special Branch dealt with active crooks--not the boys who'd turned good.,I thought special branch dealt with active crooks--not the boys who'd turned good.
case_error,"Rousing himself slightly with what seemed a terrific effort, he reached into a pocket and extracted a small packet therefrom.","rousing himself slightly with what seemed a terrific effort, he reached into a pocket and extracted a small packet therefrom."
case_error,"But I stood Prester John a drink this afternoon, and I picked his pocket.","But I stood prester John a drink this afternoon, and I picked his pocket."
case_error,"Yes, New Scotland Yard....","Yes, new Scotland yard...."
